time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/approx_kl,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/std,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/entropy_loss,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean
2400,50,6,361,0.016699517,0.09999999925494193,0.2,-0.01494706457791235,0.9621699452400208,-0.019657135009765625,490,0.21925438940525055,0.0003,-1.3815982818603516,0.5511513233184815,-160.03193214285716,168.0
2448,51,6,369,0.0038439308,0.006250000186264515,0.2,-0.011719128567105486,0.9610069990158081,0.015682756900787354,500,9.523907661437988,0.0003,-1.3796954035758973,19.15171546936035,-160.03193214285716,168.0
2496,52,6,377,0.001209572,0.0,0.2,0.003681225453814818,0.9606704115867615,0.001240074634552002,510,201.2174835205078,0.0003,-1.3789780974388122,404.8288330078125,-160.03193214285716,168.0
2544,53,6,386,3.4973025e-05,0.0,0.2,0.0011242570374939477,0.9605866074562073,0.0005540847778320312,520,471.3267822265625,0.0003,-1.3787603378295898,947.3609741210937,-167.49452533333334,168.0
2592,54,6,391,8.810312e-06,0.0,0.2,-0.0005476843557214117,0.9604472517967224,0.0006694793701171875,530,86.84220886230469,0.0003,-1.3786779522895813,175.52694244384764,-167.49452533333334,168.0
2640,55,6,396,0.00014344479,0.0,0.2,-0.001354832705692388,0.960311770439148,0.00013893842697143555,540,290.9313049316406,0.0003,-1.378509020805359,585.5410461425781,-167.49452533333334,168.0
2688,56,6,405,0.00021312635,0.0,0.2,-0.0035288984363432974,0.9602974653244019,0.0010661482810974121,550,135.17762756347656,0.0003,-1.378424847126007,272.96564331054685,-173.256703375,168.0
2736,57,6,413,0.00016176452,0.0,0.2,-0.0004618856430170126,0.9602750539779663,0.0005048513412475586,560,193.51858520507812,0.0003,-1.378422498703003,390.0683532714844,-173.256703375,168.0
2784,58,6,420,1.4127542e-05,0.0,0.2,-0.00018834061969150718,0.960252046585083,0.0011630654335021973,570,181.79005432128906,0.0003,-1.3783884048461914,366.7561462402344,-173.256703375,168.0
2832,59,6,428,4.345427e-05,0.0,0.2,-0.0013355490935889947,0.9602242112159729,0.0008236169815063477,580,220.8874053955078,0.0003,-1.3783688306808473,445.2076385498047,-173.256703375,168.0
2880,60,6,437,1.1275212e-05,0.0,0.2,8.885885278386851e-05,0.9602022171020508,0.001690685749053955,590,34.116844177246094,0.0003,-1.378337323665619,69.5764045715332,-177.81005882352943,168.0
2928,61,6,442,5.6090455e-05,0.0,0.2,-0.0014958161545408188,0.9602521657943726,0.0019093751907348633,600,84.99351501464844,0.0003,-1.3783427834510804,172.14296875,-177.81005882352943,168.0
2976,62,6,447,6.135305e-05,0.0,0.2,-0.0005024333840992767,0.9603033065795898,0.0004373788833618164,610,319.1722412109375,0.0003,-1.3784074306488037,642.7380615234375,-177.81005882352943,168.0
3024,63,6,456,3.8335722e-05,0.0,0.2,-0.00034357867431609177,0.960308849811554,0.0006853342056274414,620,1101.238525390625,0.0003,-1.3784382700920106,2210.665771484375,-189.49595511111113,168.0
